DATE,P1_PLAYER,P1_TEAM,P1_MARKET,P1_LINE,P1_ODDS,P1_PROB,P1_EDGE,P1_AIR,P2_PLAYER,P2_TEAM,P2_MARKET,P2_LINE,P2_ODDS,P2_PROB,P2_EDGE,P2_AIR,P3_PLAYER,P3_TEAM,P3_MARKET,P3_LINE,P3_ODDS,P3_PROB,P3_EDGE,P3_AIR,PARLAY_MODEL_PROB,PARLAY_BOOK_PROB,PARLAY_MODEL_DECIMAL,PARLAY_BOOK_DECIMAL,PARLAY_AMERICAN,P1_HIT,P2_HIT,P3_HIT,PARLAY_HIT
11/16/2025,Max Christie,DAL,3PM,1.5,-196,0.99,0.327837838,0.99,Alperen Sengun,HOU,3PM,0.5,-243,0.9425,0.23404519,0.9425,Kevin Huerter,CHI,PTS,11.5,-119,0.92575,0.382371005,0.92575,0.863794181,0.254905591,1.157683186,3.92302106,292,HIT,MISS,MISS,MISS
11/17/2025,Tyrese Maxey,PHI,REB,3.5,-144,0.99,0.399836066,0.99,Max Christie,DAL,3PM,1.5,-156,0.99,0.380625,0.99,Saddiq Bey,NOP,3PM,1.5,-138,0.94375,0.363918067,0.94375,0.924969375,0.208525623,1.081116875,4.795573723,379,MISS,MISS,NA,NA
11/18/2025,Will Richard,GSW,3PM,0.5,-238,0.98875,0.284607988,0.98875,Rui Hachimura,LAL,3PM,1.5,-128,0.9675,0.406096491,0.9675,Austin Reaves,LAL,REB,3.5,-151,0.9425,0.340906375,0.9425,0.901610227,0.23781465,1.109126727,4.204955409,320,HIT,MISS,HIT,MISS
11/19/2025,Shai Gilgeous-Alexander,OKC,3PM,1.5,-175,0.99,0.3536363636363636,0.99,Mikal Bridges,NYK,3PM,1.5,-192,0.99,0.3324657534246575,0.99,LaMelo Ball,CHA,AST,7.5,-131,0.99,0.4229004329004329,0.99,0.970299,0.2372919732820106,1.0306101521283646,4.214217557251908,321,MISS,MISS,HIT,MISS
11/20/2025,Jock Landale,MEM,REB,4.5,-153,0.8987500000000002,0.2940069169960476,0.8987500000000002,Tristan da Silva,ORL,3PM,1.5,-169,0.8525,0.2242472118959108,0.8525,Dyson Daniels,ATL,AST,5.5,-138,0.8200000000000001,0.2401680672268907,0.8200000000000001,0.6282711875000002,0.220296432192343,1.5916693617276532,4.53933815472277,353,NA,NA,NA,NA
