PLAYER,TEAM,TEAM_FULL,TEAM_SIDE,PTS,REB,AST,FG3M,MIN,ARENA,CITY,STATE,GAME_DATE
Brice Sensabaugh,UTA,Utah Jazz,Home,8.5,2.5,1.1,1.5,13.3,Delta Center,Salt Lake City,UT,2025-11-16
Cody Williams,UTA,Utah Jazz,Home,3.0,0.9,0.6,0.3,11.3,Delta Center,Salt Lake City,UT,2025-11-16
Elijah Harkless,UTA,Utah Jazz,Home,2.2,1.0,0.7,0.3,10.5,Delta Center,Salt Lake City,UT,2025-11-16
Isaiah Collier,UTA,Utah Jazz,Home,9.8,3.5,7.0,0.5,23.6,Delta Center,Salt Lake City,UT,2025-11-16
Jusuf Nurkić,UTA,Utah Jazz,Home,7.4,9.2,3.5,0.3,23.0,Delta Center,Salt Lake City,UT,2025-11-16
Kevin Love,UTA,Utah Jazz,Home,4.0,3.7,2.7,0.7,13.4,Delta Center,Salt Lake City,UT,2025-11-16
Keyonte George,UTA,Utah Jazz,Home,21.3,4.1,7.1,1.7,33.6,Delta Center,Salt Lake City,UT,2025-11-16
Kyle Anderson,UTA,Utah Jazz,Home,7.0,2.3,3.0,0.0,16.3,Delta Center,Salt Lake City,UT,2025-11-16
Kyle Filipowski,UTA,Utah Jazz,Home,7.8,5.3,2.4,0.9,19.7,Delta Center,Salt Lake City,UT,2025-11-16
Lauri Markkanen,UTA,Utah Jazz,Home,29.3,6.1,2.1,3.6,35.3,Delta Center,Salt Lake City,UT,2025-11-16
Svi Mykhailiuk,UTA,Utah Jazz,Home,9.4,2.8,2.0,2.0,27.0,Delta Center,Salt Lake City,UT,2025-11-16
Taylor Hendricks,UTA,Utah Jazz,Home,4.4,4.2,0.4,0.4,16.5,Delta Center,Salt Lake City,UT,2025-11-16
Walker Kessler,UTA,Utah Jazz,Home,14.4,10.8,3.0,1.2,30.8,Delta Center,Salt Lake City,UT,2025-11-16
Walter Clayton Jr.,UTA,Utah Jazz,Home,6.2,2.4,3.2,0.9,16.1,Delta Center,Salt Lake City,UT,2025-11-16
Ayo Dosunmu,CHI,Chicago Bulls,Away,14.9,2.6,3.0,1.9,25.4,Delta Center,Salt Lake City,UT,2025-11-16
Dalen Terry,CHI,Chicago Bulls,Away,1.7,0.4,0.6,0.1,5.9,Delta Center,Salt Lake City,UT,2025-11-16
Isaac Okoro,CHI,Chicago Bulls,Away,8.5,2.7,1.8,1.2,24.5,Delta Center,Salt Lake City,UT,2025-11-16
Jalen Smith,CHI,Chicago Bulls,Away,9.9,6.0,1.2,1.5,15.8,Delta Center,Salt Lake City,UT,2025-11-16
Jevon Carter,CHI,Chicago Bulls,Away,5.7,1.0,2.0,1.7,12.6,Delta Center,Salt Lake City,UT,2025-11-16
Josh Giddey,CHI,Chicago Bulls,Away,21.4,9.6,9.3,1.7,34.1,Delta Center,Salt Lake City,UT,2025-11-16
Julian Phillips,CHI,Chicago Bulls,Away,0.9,0.7,0.1,0.1,6.0,Delta Center,Salt Lake City,UT,2025-11-16
Kevin Huerter,CHI,Chicago Bulls,Away,14.6,3.9,3.0,1.5,26.1,Delta Center,Salt Lake City,UT,2025-11-16
Matas Buzelis,CHI,Chicago Bulls,Away,14.9,5.7,1.2,1.8,28.7,Delta Center,Salt Lake City,UT,2025-11-16
Nikola Vučević,CHI,Chicago Bulls,Away,16.1,9.9,3.6,1.8,30.8,Delta Center,Salt Lake City,UT,2025-11-16
Patrick Williams,CHI,Chicago Bulls,Away,8.1,3.1,1.5,1.5,23.0,Delta Center,Salt Lake City,UT,2025-11-16
Tre Jones,CHI,Chicago Bulls,Away,13.3,4.0,5.5,0.5,29.9,Delta Center,Salt Lake City,UT,2025-11-16
