PLAYER,TEAM,TEAM_FULL,GAME_DATE,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT,r3_EFG,r5_EFG,r3_TS,r5_TS
Jamir Watkins,WSH,Washington Wizards,2025-11-08,2.0,2.0,0.0,0.0,25.0,25.0,25.0,25.0
Bradley Beal,LAC,LA Clippers,2025-11-08,9.666666666666666,9.5,40.0,42.5,49.470899470899475,48.04067460317461,48.71781845466055,49.207282759914335
Eric Gordon,PHI,Philadelphia 76ers,2025-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaylon Tyson,CLE,Cleveland Cavaliers,2025-11-10,12.0,12.8,58.333333333333336,52.090909090909086,57.38095238095237,60.85714285714285,60.97902358913108,63.33850240041177
Darius Garland,CLE,Cleveland Cavaliers,2025-11-10,13.0,13.0,35.44973544973545,35.44973544973545,40.130471380471384,40.130471380471384,47.618733877101,47.618733877101
Cody Martin,IND,Indiana Pacers,2025-11-11,1.6666666666666667,1.75,0.0,0.0,6.666666666666667,13.333333333333332,34.47130883301096,34.18681495809155
Ben Saraf,BKN,Brooklyn Nets,2025-11-11,2.3333333333333335,2.3333333333333335,33.333333333333336,33.333333333333336,50.0,50.0,54.81099656357389,54.81099656357389
Walter Clayton Jr.,UTAH,Utah Jazz,2025-11-11,6.0,6.2,24.444444444444443,34.666666666666664,45.833333333333336,57.5,61.28917378917379,67.78701778701779
Jonathan Mogbo,TOR,Toronto Raptors,2025-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ron Harper Jr.,BOS,Boston Celtics,2025-11-12,4.0,4.0,50.0,50.0,85.0,85.0,85.0,85.0
PJ Hall,MEM,Memphis Grizzlies,2025-11-12,1.3333333333333333,1.5,0.0,0.0,16.666666666666668,12.5,15.015015015015015,24.559133601686792
Pacome Dadiet,NY,New York Knicks,2025-11-12,1.3333333333333333,0.8,0.0,0.0,16.666666666666668,10.0,28.240740740740744,16.944444444444446
Doug McDermott,SAC,Sacramento Kings,2025-11-12,6.0,6.0,66.66666666666666,66.66666666666666,100.0,100.0,100.0,100.0
Noah Penda,ORL,Orlando Magic,2025-11-12,1.3333333333333333,2.0,0.0,20.0,11.111111111111109,31.666666666666664,17.182130584192443,35.725945017182134
Olivier-Maxence Prosper,MEM,Memphis Grizzlies,2025-11-12,2.6666666666666665,2.8,0.0,0.0,9.523809523809524,19.047619047619044,15.220700152207002,24.596337617097397
Devin Carter,SAC,Sacramento Kings,2025-11-12,4.333333333333333,2.6,11.111111111111109,6.666666666666666,13.888888888888891,8.333333333333334,23.328471508602117,13.99708290516127
Tolu Smith,DET,Detroit Pistons,2025-11-12,6.0,6.0,0.0,0.0,75.0,75.0,75.0,75.0
Paolo Banchero,ORL,Orlando Magic,2025-11-12,20.0,19.4,22.222222222222218,19.999999999999996,47.4537037037037,44.97222222222222,57.37035251258974,55.85523192842851
Pete Nance,MIL,Milwaukee Bucks,2025-11-12,10.0,10.0,66.66666666666666,66.66666666666666,100.0,100.0,100.0,100.0
GG Jackson,MEM,Memphis Grizzlies,2025-11-12,2.3333333333333335,1.75,0.0,0.0,11.111111111111109,8.333333333333332,32.60059612518629,24.450447093889718
Tre Jones,CHI,Chicago Bulls,2025-11-12,16.0,14.6,0.0,0.0,45.55555555555555,48.22222222222222,58.987596629741795,57.73081395534156
Hunter Tyson,DEN,Denver Nuggets,2025-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daeqwon Plowden,SAC,Sacramento Kings,2025-11-12,2.0,2.0,0.0,0.0,20.0,20.0,20.0,20.0
Chris Boucher,BOS,Boston Celtics,2025-11-12,3.6666666666666665,3.6666666666666665,16.666666666666668,16.666666666666668,50.0,50.0,50.0,50.0
Malaki Branham,WSH,Washington Wizards,2025-11-12,1.3333333333333333,3.8,0.0,10.0,16.666666666666668,38.66666666666667,34.39716312056738,48.31779521876878
Kobe Brown,LAC,LA Clippers,2025-11-12,3.6666666666666665,2.6,33.333333333333336,20.0,55.555555555555564,53.333333333333336,55.32646048109965,53.19587628865979
Kristaps Porzingis,ATL,Atlanta Hawks,2025-11-12,16.666666666666668,16.0,24.76190476190476,14.857142857142856,41.31944444444444,38.88257575757576,52.222520693513296,52.91986611343107
Christian Braun,DEN,Denver Nuggets,2025-11-12,8.666666666666666,9.8,13.333333333333334,13.0,69.64285714285714,58.92857142857143,74.40908452732815,62.364189349262936
Liam McNeeley,CHA,Charlotte Hornets,2025-11-12,6.666666666666667,5.0,35.55555555555555,41.33333333333333,41.07142857142858,54.642857142857146,51.26176224508819,71.39535521939334
Will Riley,WSH,Washington Wizards,2025-11-12,2.0,1.6,0.0,0.0,55.55555555555555,40.0,55.55555555555555,40.0
Hugo Gonzalez,BOS,Boston Celtics,2025-11-12,2.6666666666666665,2.6,66.66666666666667,60.0,91.66666666666667,67.5,91.66666666666667,67.5
Jonathan Kuminga,GS,Golden State Warriors,2025-11-12,6.0,9.6,0.0,8.0,25.92592592592592,31.029239766081865,29.089045638150356,34.11062098857405
Jase Richardson,ORL,Orlando Magic,2025-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Kolek,NY,New York Knicks,2025-11-12,0.6666666666666666,0.8,0.0,0.0,33.333333333333336,30.0,33.333333333333336,30.0
Aaron Nesmith,IND,Indiana Pacers,2025-11-13,17.333333333333332,16.8,50.925925925925924,41.66666666666667,57.96296296296296,51.10130718954248,65.46275414183418,56.998741590112914
Khaman Maluach,PHX,Phoenix Suns,2025-11-13,0.6666666666666666,1.2,0.0,0.0,16.666666666666668,30.0,16.666666666666668,31.27659574468085
Grayson Allen,PHX,Phoenix Suns,2025-11-13,25.666666666666668,21.8,53.703703703703695,52.539682539682545,83.49673202614379,75.61085972850678,82.21359436864178,74.84097713400558
Luke Travers,CLE,Cleveland Cavaliers,2025-11-13,2.6666666666666665,2.0,0.0,0.0,17.777777777777775,10.666666666666666,28.519999064918068,20.513359983168527
Kelly Oubre Jr.,PHI,Philadelphia 76ers,2025-11-14,9.333333333333334,13.2,5.5555555555555545,16.666666666666668,35.92074592074592,44.13578088578088,40.94840858941311,47.467126187009086
Jeff Green,HOU,Houston Rockets,2025-11-14,1.0,2.25,16.666666666666668,37.5,25.0,56.25,25.0,56.25
Tari Eason,HOU,Houston Rockets,2025-11-14,9.666666666666666,11.2,30.555555555555554,43.33333333333333,45.833333333333336,56.60256410256409,46.71325051759833,57.888661165506164
Bobi Klintman,DET,Detroit Pistons,2025-11-14,3.6666666666666665,3.0,27.777777777777775,16.666666666666664,60.11904761904762,42.738095238095234,60.11904761904762,41.88538205980066
Jrue Holiday,POR,Portland Trail Blazers,2025-11-14,14.333333333333334,16.6,36.904761904761905,40.142857142857146,56.679894179894184,54.40267335004178,59.40394464421923,57.34606237319565
JD Davison,HOU,Houston Rockets,2025-11-14,1.0,2.0,33.333333333333336,50.0,25.0,50.0,25.0,40.451388888888886
Adem Bona,PHI,Philadelphia 76ers,2025-11-14,2.0,2.0,0.0,0.0,50.0,36.666666666666664,52.12765957446808,38.96890343698855
Victor Wembanyama,SA,San Antonio Spurs,2025-11-14,31.666666666666668,27.0,49.007936507936506,33.84920634920635,61.754765702134115,56.526543631806796,67.44871765033055,61.74548990802079
Ariel Hukporti,NY,New York Knicks,2025-11-14,0.6666666666666666,1.2,0.0,0.0,33.333333333333336,40.0,33.333333333333336,40.0
OG Anunoby,NY,New York Knicks,2025-11-14,8.666666666666666,14.0,19.99999999999999,37.33333333333333,48.03921568627451,56.898395721925134,50.569980807080604,59.2143735241872
RayJ Dennis,IND,Indiana Pacers,2025-11-15,5.0,3.0,66.66666666666667,40.0,73.61111111111111,44.16666666666667,75.90206185567011,45.54123711340206
Amir Coffey,MIL,Milwaukee Bucks,2025-11-15,1.6666666666666667,1.4,33.333333333333336,20.0,61.11111111111111,46.666666666666664,61.11111111111111,46.666666666666664
Ja Morant,MEM,Memphis Grizzlies,2025-11-15,11.333333333333334,14.4,20.634920634920633,15.238095238095235,52.64550264550265,45.42940685045948,56.33201251902259,51.08681900264954
Larry Nance Jr.,CLE,Cleveland Cavaliers,2025-11-15,1.0,3.0,16.666666666666668,26.666666666666664,16.666666666666668,38.333333333333336,16.666666666666668,38.333333333333336
Nick Smith Jr.,LAL,Los Angeles Lakers,2025-11-15,2.6666666666666665,8.0,25.0,36.66666666666667,64.58333333333333,63.75,64.58333333333333,64.97950819672131
